,station_train_code,train_no,train_type,train_code,from_station,from_station_name,to_station,to_station_name,from_station_telecode,to_station_telecode
8151,T310(齐齐哈尔-沈阳),040000T3100B,T,T310,齐齐哈尔,齐齐哈尔,沈阳,沈阳,QHX,SYT
8152,T311(沈阳北-齐齐哈尔),120000T3110G,T,T311,沈阳北,沈阳北,齐齐哈尔,齐齐哈尔,SBT,QHX
8153,T312(齐齐哈尔-沈阳北),040000T3120I,T,T312,齐齐哈尔,齐齐哈尔,沈阳北,沈阳北,QHX,SBT
8154,T325(郑州-宁波),380000T32806,T,T325,郑州,郑州,宁波,宁波,ZZF,NGH
8155,T326(宁波-郑州),5e0000T32611,T,T326,宁波,宁波,郑州,郑州,NGH,ZZF
8156,T327(宁波-郑州),5e0000T32611,T,T327,宁波,宁波,郑州,郑州,NGH,ZZF
8157,T328(郑州-宁波),380000T32806,T,T328,郑州,郑州,宁波,宁波,ZZF,NGH
8158,T335(松原-哈尔滨西),110000T33802,T,T335,松原,松原,哈尔滨西,哈尔滨西,VYT,VAB
8159,T336(哈尔滨西-松原),0h0000T33600,T,T336,哈尔滨西,哈尔滨西,松原,松原,VAB,VYT
8160,T337(哈尔滨西-松原),0h0000T33600,T,T337,哈尔滨西,哈尔滨西,松原,松原,VAB,VYT
8161,T338(松原-哈尔滨西),110000T33802,T,T338,松原,松原,哈尔滨西,哈尔滨西,VYT,VAB
8162,T367(广州-大连),630000T37002,T,T367,广州,广州,大连,大连,GZQ,DLT
8163,T368(大连-广州),130000T36906,T,T368,大连,大连,广州,广州,DLT,GZQ
8164,T369(大连-广州),130000T36906,T,T369,大连,大连,广州,广州,DLT,GZQ
8165,T370(广州-大连),630000T37002,T,T370,广州,广州,大连,大连,GZQ,DLT
8166,T381(上海南-昆明),550000T38122,T,T381,上海南,上海南,昆明,昆明,SNH,KMM
8167,T382(昆明-上海南),800000T38207,T,T382,昆明,昆明,上海南,上海南,KMM,SNH
8168,T389(合肥-西宁),530000T38911,T,T389,合肥,合肥,西宁,西宁,HFH,XNO
8169,T395(深圳-青岛),650000T39804,T,T395,深圳,深圳,青岛,青岛,SZQ,QDK
8170,T396(青岛-深圳),490000T39606,T,T396,青岛,青岛,深圳,深圳,QDK,SZQ
8171,T397(青岛-深圳),490000T39606,T,T397,青岛,青岛,深圳,深圳,QDK,SZQ
8172,T398(深圳-青岛),650000T39804,T,T398,深圳,深圳,青岛,青岛,SZQ,QDK
8173,T4201(二连-包头),33000T420404,T,T4201,二连,二连,包头,包头,RLC,BTC
8174,T4202(包头-二连),33000T420205,T,T4202,包头,包头,二连,二连,BTC,RLC
8175,T4203(包头-二连),33000T420205,T,T4203,包头,包头,二连,二连,BTC,RLC
8176,T4204(二连-包头),33000T420404,T,T4204,二连,二连,包头,包头,RLC,BTC
8177,T4601(张掖-敦煌),86000T460110,T,T4601,张掖,张掖,敦煌,敦煌,ZYJ,DHJ
8178,T4602(敦煌-嘉峪关),8b000T460310,T,T4602,敦煌,敦煌,嘉峪关,嘉峪关,DHJ,JGJ
8179,T4603(敦煌-嘉峪关),8b000T460310,T,T4603,敦煌,敦煌,嘉峪关,嘉峪关,DHJ,JGJ
8180,T4604(张掖-敦煌),86000T460110,T,T4604,张掖,张掖,敦煌,敦煌,ZYJ,DHJ
8181,T5101(哈尔滨东-大庆东),01000T510120,T,T5101,哈尔滨东,哈尔滨东,大庆东,大庆东,VBB,LFX
8182,T5687(北京-秦皇岛),24000T56870F,T,T5687,北京,北京,秦皇岛,秦皇岛,BJP,QTP
8183,T5688(秦皇岛-北京),25000T56880N,T,T5688,秦皇岛,秦皇岛,北京,北京,QTP,BJP
8184,T6307(呼和浩特-乌海西),33000T630703,T,T6307,呼和浩特,呼和浩特,乌海西,乌海西,HHC,WXC
8185,T6308(乌海西-呼和浩特),33000T630804,T,T6308,乌海西,乌海西,呼和浩特,呼和浩特,WXC,HHC
8186,T6551(郑州-南阳),38000T655101,T,T6551,郑州,郑州,南阳,南阳,ZZF,NFF
8187,T6552(南阳-郑州),40000T655201,T,T6552,南阳,南阳,郑州,郑州,NFF,ZZF
8188,T6601(兰州-嘉峪关),85000T660100,T,T6601,兰州,兰州,嘉峪关,嘉峪关,LZJ,JGJ
8189,T6602(嘉峪关-兰州),86000T660201,T,T6602,嘉峪关,嘉峪关,兰州,兰州,JGJ,LZJ
8190,T6603(天水-兰州),85000T660302,T,T6603,天水,天水,兰州,兰州,TSJ,LZJ
8191,T6604(兰州-天水),85000T660402,T,T6604,兰州,兰州,天水,天水,LZJ,TSJ
8192,T6605(武威-嘉峪关),86000T660500,T,T6605,武威,武威,嘉峪关,嘉峪关,WUJ,JGJ
